"rt","responses","trial_type","time_elapsed","stimulus","button_pressed","key_press","stimulus_left","stimulus_right","cumulative_accuracy","accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition"
"null","","rt_thecrossant_black","733668","black_plus_sign","","50","","","0.8272727272727273","0","","","","","","","","",""
"null","","color_black","733771","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","735776","black_plus_sign","","null","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","736710","green","","null","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","737213","green","","null","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"1229","","rt_thecrossant_black","738286","black_plus_sign","","50","","","0.8288288288288288","1","","","","","","","","",""
"null","","color_black","738390","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","740394","black_plus_sign","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","741299","blue","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","741803","blue","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"1122.3000000002794","","rt_thecrossant_black","742905","black_plus_sign","","49","","","0.8303571428571429","1","","","","","","","","",""
"null","","color_black","743009","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","745014","black_plus_sign","","null","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","745913","green","","null","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"501.29999999981374","","rt_plussign_withcolor","746417","green","","50","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","747526","black_plus_sign","","50","","","0.831858407079646","1","","","","","","","","",""
"null","","color_black","747629","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","749634","black_plus_sign","","null","GW/rocking_chair.jpg","GW/pawn.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","750057","green","","null","GW/rocking_chair.jpg","GW/pawn.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","750560","green","","null","GW/rocking_chair.jpg","GW/pawn.jpg","","","","","","","","","","",""
"1016.6000000000931","","rt_thecrossant_black","752144","black_plus_sign","","49","","","0.8245614035087719","0","","","","","","","","",""
"null","","color_black","752249","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","754253","black_plus_sign","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","755243","green","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","755746","green","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"803.2000000001863","","rt_thecrossant_black","756763","black_plus_sign","","50","","","0.8260869565217391","1","","","","","","","","",""
"null","","color_black","756867","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","758871","black_plus_sign","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
